gid,trip_id,unixtime,north_utm,east_utm,longitude,latitude
528811,37,1520698377,5804699.33362,550867.140448,9.747479000002746,52.39017899996695
528812,37,1520698378,5804691.62514,550863.953334,9.747430999993,52.390109999963535
528813,37,1520698379,5804684.36017,550860.625511,9.747380999993396,52.39004499998633
528814,37,1520698380,5804676.31942,550857.577928,9.747335000006318,52.38997300000614
528815,37,1520698381,5804669.84008,550854.92255,9.74729500000712,52.38991500002005
528816,37,1520698382,5804662.69126,550852.069906,9.747251999994596,52.38985099998752
528817,37,1520698383,5804656.65543,550849.273814,9.747209999997382,52.38979700001615
528818,37,1520698384,5804652.85048,550847.067194,9.747176999995151,52.38976299999323
528819,37,1520698385,5804649.82694,550845.124733,9.747148000003794,52.38973599998878
528820,37,1520698386,5804647.69885,550843.717487,9.747126999997986,52.38971700000744
528821,37,1520698387,5804646.4648,550842.709356,9.747111999994896,52.38970600001723
528822,37,1520698391,5804647.23496,550841.884697,9.747099999996674,52.38971300002596
528823,37,1520698396,5804648.5718,550842.075063,9.747102999996136,52.389724999999714
528824,37,1520698403,5804646.0002,550840.808515,9.74708400000573,52.38970199996898
528825,37,1520698404,5804642.97596,550838.797995,9.747053999999924,52.38967499996817
528826,37,1520698405,5804637.06753,550837.56591,9.74703500000128,52.38962199997383
528827,37,1520698406,5804631.48505,550835.581808,9.747004999999469,52.389571999961255
528828,37,1520698407,5804624.22924,550833.138572,9.74696800000196,52.38950700000766
528829,37,1520698408,5804618.74112,550829.520069,9.746913999996304,52.38945799997517
528830,37,1520698409,5804611.02916,550825.992583,9.746861000006035,52.38938900004186
528831,37,1520698410,5804603.32,550822.737292,9.746811999992754,52.38931999998722
528832,37,1520698411,5804596.94488,550819.400158,9.746761999997323,52.389262999990464
528833,37,1520698412,5804591.01608,550816.194526,9.746714000004546,52.38921000000349
528834,37,1520698413,5804585.42167,550813.053493,9.746667000006871,52.38916000003244
528835,37,1520698414,5804579.04445,550809.512176,9.746613999997026,52.38910300004196
528836,37,1520698415,5804572.67074,550806.311112,9.746565999994363,52.38904600000605
528837,37,1520698416,5804567.07563,550803.102003,9.746517999993587,52.38899599999756
528838,37,1520698417,5804561.58824,550799.551476,9.74646499999342,52.3889470000064
528839,37,1520698418,5804556.44086,550796.609971,9.746421000001517,52.38890100004063
528840,37,1520698419,5804550.84997,550793.809156,9.746379000000914,52.3888510000285
528841,37,1520698420,5804546.591,550790.72235,9.746333000000543,52.38881299995825
528842,37,1520698421,5804543.55976,550788.03123,9.746292999999383,52.38878599996587
528843,37,1520698422,5804540.63484,550784.862589,9.7462459999939,52.38876000002708
528844,37,1520698423,5804536.70465,550781.295956,9.746192999995586,52.388725000008186
528845,37,1520698424,5804532.01202,550779.302567,9.74616299999784,52.38868300002515
528846,37,1520698425,5804526.52815,550776.092253,9.746115000005144,52.3886339999616
528847,37,1520698426,5804520.48605,550772.683508,9.746063999993575,52.38858000001451
528848,37,1520698427,5804515.44429,550769.196377,9.746012000001246,52.38853499996968
528849,37,1520698428,5804509.40149,550765.719563,9.745959999998886,52.388480999995
528850,37,1520698429,5804504.69974,550762.841455,9.745917000006408,52.3884389999918
528851,37,1520698430,5804499.99659,550759.827234,9.74587200000419,52.38839700000585
528852,37,1520698431,5804495.29133,550756.608847,9.745824000002957,52.388354999961
528853,37,1520698432,5804491.48643,550754.40208,9.745790999996055,52.38832099999794
528854,37,1520698433,5804488.91766,550753.407658,9.745776000005224,52.3882979999614
528855,37,1520698434,5804485.55487,550750.924084,9.745739000002338,52.38826800003494
528856,37,1520698435,5804480.86786,550749.475073,9.745716999999926,52.38822599999423
528857,37,1520698436,5804475.73244,550747.690378,9.745690000000671,52.38818000003521
